Song_ID	Title_FA	Title_EN	Line_Num	Persian_Lyric	English_Lyric	Audio_URL	Video_URL	Has_Timing
10	آیید او را پرستیم ( گرد آیید ایمانداران )O come all ye faithfulJohn Francis Wade-Franz Gruber	O come all ye faithfulJohn Francis Wade-Franz Gruber	1				https://www.youtube.com/embed/a6LT6GruGS8	No
11	آسمان گوید جلال و شکوه عیسی ( تا ابد تو هستی )All heaven declaresNoel-Tricia Richards	All heaven declaresNoel-Tricia Richards	1				https://www.youtube.com/embed/Qg8-AMxRaas	No
12	آب را شراب کرده ای ( خدا عظیمتر )Our God (water you turned into wine)Chris Tomlin	Our God	1				https://www.youtube.com/embed/E3Vnt1jAtaI	No
13	آزادی در نام توستIsn&#039;t the name of Jesus	t the name of Jesus	1				https://www.youtube.com/embed/fQjPntYLD7s	No
14	آرامی دلهایی میلاد رساییروزبه نجارنژاد		1				https://www.youtube.com/embed/a9WVtyBMI1w	No
15	ای عیسی نزدم بیاکشیش ادوارد هوسپیانسرود ارمنی		1				https://www.youtube.com/embed/4Mz_xjxkxcU	No
16	این محبت حقیقی استReal LoveHillsong Young and Freeروزبه-نیلوفر-دریا	Real LoveHillsong Young and Free	1				https://www.youtube.com/embed/cmeC_HeaJ2Q	No
17	امیدت را از دست ندهشراره-دریا		1				https://www.youtube.com/embed/wiTerZ3YPVI	No
18	اکنون در تو آزادم ( چه نیکوست در تو دارم نجات )وحید نوروزی		1				https://www.youtube.com/embed/A8fZntzfh6w	No
19	ای روح خدا ( می خواهیم هر روزه از تو ما پر شویم )وحید نوروزی		1				https://www.youtube.com/embed/Lil0N7fc6jA	No
20	ایمانی نو روحی نودریا		1				https://www.youtube.com/embed/Opalb4d3_2E	No
21	ایمانم را مدد کندریا		1				https://www.youtube.com/embed/l1_yvB1JZcU	No
22	ای ستمدیده و طوفان زدهآزاده تقی پور		1				https://www.youtube.com/embed/sK1Ps_A5tps	No
23	اگه دلت شکسته تنها شدی یا خسته ( پشت در قلب توست )داریوشژیلبرت هوسپیان		1				https://www.youtube.com/embed/mmm-nZB5BC4	No
24	ابا ای پدر آسمانی ( پدر شکرت گویان نزد تو آیم )وحید نوروزی		1				https://www.youtube.com/embed/l20uPh-NERo	No
25	ای برادر و خواهرم		1				https://www.youtube.com/embed/BxKYJthweuM	No
26	اکنون آزادم نما ( ای خالق این جهان )علیرضا سیدیانژیلبرت هوسپیان		1				https://www.youtube.com/embed/Y4WGU6hpNdA	No
27	از این دنیای مغموم و فانیسرود ارمنیجان مارکزنده یاد کشیش هایک هوسپیان		1				https://www.youtube.com/embed/lHJ-6N_6fMs	No
28	ای فرزندان نورسرود عربیزنده یاد کشیش هایک هوسپیان		1				https://www.youtube.com/embed/pbJUw4xekW0	No
29	ای جان من خداوند را متبارک خوان تا ابدیلدا میرشکار - رضا وطن‌پرست		1				https://www.youtube.com/embed/YpXemuQUkus	No
30	ای تو ما را پدر ای ابا ( دعا برای ایران )کاوه رفیعی		1				https://www.youtube.com/embed/LABIq10tZyk	No
31	ای پدر ما در آسمان ( دعای ربانی )سرود انگلیسیزنده‌ یاد‌ کشیش‌ ورویر‌ آوانسیان		1				https://www.youtube.com/embed/E7irjNWCvJE	No
32	این صدای بارانیستپیمان مجتهدی		1				https://www.youtube.com/embed/5VD_Xc8tsEU	No
33	ایمان داری که خدایی هست ( ایمان دارم می پذیرم )ژیلبرت هوسپیان		1				https://www.youtube.com/embed/RgDUeKKX7DY	No
34	بخوان نام عیسی رامجید دستوری		1				https://www.youtube.com/embed/v8wDZ9pxTPc	No
35	به دیدار و لمسی تازه		1				https://www.youtube.com/embed/jn1VM50hws4	No
36	به حضورت آییم نزدت زانو زنیمروزبه-نیلوفر-دریا		1				https://www.youtube.com/embed/fRRXn2IULzU	No
37	با مهرت سویم آمدی ( می خوانم شکر بهرت )		1				https://www.youtube.com/embed/3CTdpl7vJEU	No
38	به آن روزی ایمان داریم که ایران آزاد شودشمعون - ژیلبرت هوسپیان		1				https://www.youtube.com/embed/y21nO3_z_WA	No
39	برخیزیم بنا کنیمنیلوفر-اوژنی سرکیسیان		1				https://www.youtube.com/embed/Sk0q0q4mwT0	No
40	به چشمان تو که می نگرم منوحید نوروزی		1				https://www.youtube.com/embed/gk-WhRWTaxg	No
41	برکت ( خداوند تو را برکت دهد )Kari Jobe-Cody Carnes-Elevation worshipروزبه نجارنژاد-نیلوفر	Kari Jobe-Cody Carnes-Elevation worship	1				https://www.youtube.com/embed/97BBZpQtSiA	No
42	بر وعده هایتپیمان-نیلوفر-دنی		1				https://www.youtube.com/embed/enB96btEJtw	No
43	بیایید باهم یکنفس یکصداسرود ارمنیزنده یاد کشیش ورویر آوانسیان		1				https://www.youtube.com/embed/SQuWV0mTsmw	No
44	بشنو دعایمروزبه نجارنژاد		1				https://www.youtube.com/embed/L9CvVpzd2ec	No
45	با عشقش او با من استآرش بهزاد زاده		1				https://www.youtube.com/embed/eNsqKFXak2E	No
46	با من باش ( ای مالک جانم ای شاه و سلطانم )O the deep deep love of JesusSamuel Trevor Francis	O the deep deep love of JesusSamuel Trevor Francis	1				https://www.youtube.com/embed/9XL_7iN3apw	No
47	باران آخر می خواهیمداوود طوماسسرود انگلیسی		1				https://www.youtube.com/embed/aw9MlFIxnzI	No
48	بهاران چه زیباست عیسیزنده یاد کشیش ورویر آوانسیان		1				https://www.youtube.com/embed/XcmoW91y_-k	No
49	بشنوید این مژده راHark the herald angels singGeorge whitefield-Charles Wesley	Hark the herald angels singGeorge whitefield-Charles Wesley	1				https://www.youtube.com/embed/vP4wgL7qNIk	No
50	باران نور و شبنمیکاوه رفیعی		1				https://www.youtube.com/embed/4OE1B7vWops	No
51	بازایستیم و دانیمپیمان-نیلوفر-دنی		1				https://www.youtube.com/embed/WBuYh1ZmnSc	No
52	برتر از شاهانAbove all powersMichael W.Smith	Above all powersMichael W	1				https://www.youtube.com/embed/kYWiPc6OHvs	No
53	بر نامت جلال ( پدر دوستت داریم )Glorify thy name	Glorify thy name	1				https://www.youtube.com/embed/EWxzK8TA7og	No
54	پاک شدم با خون عیسی ( ای نهر پربها طاهر کردی مرا )Drenched in loveBethel Music-Daniel Bashta	Drenched in loveBethel Music-Daniel Bashta	1				https://www.youtube.com/embed/bxJwdTkiP-Y	No
55	پیروزی هست آزادی هستسرود انگلیسی		1				https://www.youtube.com/embed/sAAh_8HfRTs	No
56	پدر جان محبت تو ( حمد بر نام قدوست باد )سرود آلمانی		1				https://www.youtube.com/embed/2RSCAfn-6MA	No
57	پناهگاهم ماوایم ( هللویاه )دریا-وحید نوروزی		1				https://www.youtube.com/embed/s3NJqUe7BcM	No
58	پسر خدا تو شایسته ای		1				https://www.youtube.com/embed/7txIkr4HdKg	No
59	پدر سرمدی پادشاه جلالAdonaiPaul Wilbur	AdonaiPaul Wilbur	1				https://www.youtube.com/embed/2bX5zy3R7OM	No
60	تو را عاشقانه دوستت دارمنیلوفر		1				https://www.youtube.com/embed/SoetDZ6kOfc	No
61	تماشایی‌ترین تصویر دنیاروزبه نجارنژاد		1				https://www.youtube.com/embed/W_DeB7ZOAwo	No
62	تو آگاهی خداوند		1				https://www.youtube.com/embed/5Ra4vm3yFrI	No
63	تمام شد ( ای عیسی با مرگت )ژیلبرت هوسپیان		1				https://www.youtube.com/embed/VL4gZ1EpUTI	No
64	تو در ما زنده ایAliveAlexander Pappas/Aodhanروزبه-نیلوفر-دریا	AliveAlexander Pappas	1				https://www.youtube.com/embed/O0bqz_M6fPc	No
65	تولد یافت نور جهانآنت یدگاریانژیلبرت هوسپیان		1				https://www.youtube.com/embed/E3_ycZD5Ums	No
66	تو مرا می شناسیوحید نوروزی		1				https://www.youtube.com/embed/VMK94rw3O7o	No
67	تو را می خواهم بیشتر بشناسموحید نوروزی		1				https://www.youtube.com/embed/unEajKRChRE	No
68	تا زنده ام تو را خواهم ستودوحید نوروزی		1				https://www.youtube.com/embed/3Z3icH192es	No
69	تو برای من تختت را رها کردیپیمان مجتهدی - سعید میریعقوبی		1				https://www.youtube.com/embed/-RaR6gqxc6w	No
70	تنها امید برای ما مسیحاست		1				https://www.youtube.com/embed/8HiIypszpI8	No
71	تقدیم نمایم خود را ( ضعیف گوید قوی هستم )Give thanksDon Moen	Give thanksDon Moen	1				https://www.youtube.com/embed/Yy2ZVq1MxGI	No
72	تا که نفس دارم تو را حمد می گویم ( چگونه شکرت کنم )سرود افغان		1				https://www.youtube.com/embed/4CgEmA-XQOI	No
73	تو طرد شدی تا بخشیده شومYou are my king (amazing love)Billy Foote	You are my king	1				https://www.youtube.com/embed/pyy8yD76XoI	No
74	تشنه ی مسح توام روح القدسروزبه نجارنژاد		1				https://www.youtube.com/embed/C_EfHworlcM	No
75	تاج ( امید من بر شاهیست که )روزبه-پیمان-دریا-آرش-شروین-نیلوفر		1				https://www.youtube.com/embed/HVmdiPv11Bc	No
76	تقدیمت کنم تسلیمت کنم ( هرچه دارم از ته دل )I surrender allWinfield S.Weeden - Judson W.Van Deventer	I surrender allWinfield S	1				https://www.youtube.com/embed/tuVwc0Fhi28	No
77	تو اینجایی در میان ماWay makerSinach	Way makerSinach	1				https://www.youtube.com/embed/xsmAHMPMKpU	No
78	تو را می پرستم نامت برافرازم		1				https://www.youtube.com/embed/UqUsJt1HzVk	No
79	تو تاک هستی ما شاخه های توYou are the vine and we are the branchesGordon Giles	You are the vine and we are the branchesGordon Giles	1				https://www.youtube.com/embed/y5XlaRybz_0	No
80	جهانم بی تو دگر معنا نداردآراد طفلان		1				https://www.youtube.com/embed/o2D_n7LvHmI	No
81	جشنی عظیم برپاستسموئیل بهرامی‌فرد		1				https://www.youtube.com/embed/jeeR7-8Yqt8	No
82	جلال بر نامت ای صیاد دلهای پریشانصبا احمدزادگانفراز دولتخواه		1				https://www.youtube.com/embed/Q380T2RPrEM	No
83	جلال نامت آرزویم ( قلبم تقدیمت کنم جان و وجودم را )Lord i give you my heart (this is my desire)Reuben Timothy Morgan	Lord i give you my heart	1				https://www.youtube.com/embed/wM_m4-Hj3cU	No
84	جلال بر نامت تو قدوس و پاکی ( می آیم تا در حضور تو )یونا ثابت		1				https://www.youtube.com/embed/0bCdyUWBrhM	No
85	جوانه ( می نهم به پایت عیسی )روزبه نجارنژاد		1				https://www.youtube.com/embed/9yzfenSgUCM	No
86	جان من در دست توست سرود عربیداوود طوماس		1				https://www.youtube.com/embed/c_xKm7LzFts	No
87	جلالت می دهیم You deserve the gloryTerry MacAlmon	You deserve the gloryTerry MacAlmon	1				https://www.youtube.com/embed/QBan0MukqD8	No
88	جلال دهم نامت را عیسیI sing praises to your nameTerry MacAlmon	I sing praises to your nameTerry MacAlmon	1				https://www.youtube.com/embed/OnCc-QQjjkA	No
89	جلال بر نام او آیید او را پرستیمHe is exaltedTwila Paris	He is exaltedTwila Paris	1				https://www.youtube.com/embed/cEk2uO6GUgo	No
90	چشمان قلبم را بگشاOpen the eyes of my heart LordPaul Baloche	Open the eyes of my heart LordPaul Baloche	1				https://www.youtube.com/embed/87kw0QuQJ5I	No
91	چقدر عجیب استروزبه-نیلوفر-دریا		1				https://www.youtube.com/embed/nvamKWJyt3Q	No
92	چون بر او می نگرم با اشک و آهسرود انگلیسیزنده یاد کشیش هایک هوسپیان		1				https://www.youtube.com/embed/sWaiMChXFa8	No
93	چشمانم بگشاOpen our eyes lord we want to see Jesus	Open our eyes lord we want to see Jesus	1				https://www.youtube.com/embed/RzcgnshX9qo	No
94	چون روح تو از اعلیوحید نوروزی		1				https://www.youtube.com/embed/6dzoLehv7W8	No
95	چشمانم را بر می افرازم ( از آسمان بریز )ژیلبرت هوسپیان		1				https://www.youtube.com/embed/oH8n4D5waP4	No
96	چون روی قدوست را بینم ( ستایمت )When I look into your holinessWayne &amp; Cathy Perrin	When I look into your holinessWayne	1				https://www.youtube.com/embed/ExNxVRhsD5g	No
97	حضور نوازشگرت ( تشنه ام تشنه ی )سرود ارمنی		1				https://www.youtube.com/embed/d55rI1rDilg	No
98	حتی اگر افتاده باشمنیلوفر		1				https://www.youtube.com/embed/TeNS9QcODNM	No
99	حاضر است خداوند In his timeDiane Ball	In his timeDiane Ball	1				https://www.youtube.com/embed/FWm4aeNmjUU	No
100	خداوند شبان جانم استرضا وطن‌پرست		1				https://www.youtube.com/embed/XL7Q6YOzZ1M	No
101	خداوند پاکم نما ( برائت )یلدا میرشکار ، محمدرضا پوطی		1				https://www.youtube.com/embed/po8t-V-QSjg	No
102	خداوندم مثل آهو تشنه هستمنینوس ایتالیایی		1				https://www.youtube.com/embed/t04MLoqUS6Y	No
103	خدای تازه‌هادریا		1				https://www.youtube.com/embed/NwSyFIVlPU4	No
104	خدای دلگرمیپیمان-نیلوفر-دنی		1				https://www.youtube.com/embed/FUU12EZhrcE	No
105	خداوند ناله هایم را شنیدیوحید نوروزی		1				https://www.youtube.com/embed/lztL5u9jA9w	No
106	خدا را جلال دهیم نامش را برافرازیمسرود انگلیسیThe Brooklyn Tabernacle Choir	The Brooklyn Tabernacle Choir	1				https://www.youtube.com/embed/KEyS9j3rOko	No
107	خداوند از راه فیضشسرود عربیزنده یاد کشیش هایک هوسپیان		1				https://www.youtube.com/embed/4sJ5CN1a_20	No
108	خداوند نیکویی رحمتت تا به ابد استYou are goodIsrael Houghton	You are goodIsrael Houghton	1				https://www.youtube.com/embed/F4Uq4Qa7eXI	No
109	خدایا چون با حیرت خیره شوم ( آنگه ز جان و دل می سرایم )How great thou artStuart Mine	How great thou artStuart Mine	1				https://www.youtube.com/embed/ewICRakXq7Q	No
110	خدای عظیم بهر ما خاکیانزنده یاد کشیش هایک هوسپیان		1				https://www.youtube.com/embed/nqmwBGj461A	No
111	خواهم هر روز با تو راه روم ( سلطان قلبم تویی عیسی )سرود ارمنی		1				https://www.youtube.com/embed/WSPUGtz6-Rc	No
112	خداوند راهی بهرم مهیا سازدGod will make a WayDon Moen	God will make a WayDon Moen	1				https://www.youtube.com/embed/OTMxEvoHhMw	No
113	خدای عشق و بی همتا و پاککوروش روحانیوحید نوروزی		1				https://www.youtube.com/embed/3EAkZEBtHv4	No
114	خداوند شبان من استآزادهآزاده-دریا-وحید نوروزی		1				https://www.youtube.com/embed/y-0T4Klhjm0	No
115	خدای ما تشنه ی توییمGod of agesFielding Benjamin David	God of agesFielding Benjamin David	1				https://www.youtube.com/embed/tb1uzKNsYsA	No
116	خداوند عیسی عدالت ما ( شبان اعظم گله )سرود انگلیسیزنده یاد کشیش هایک هوسپیان		1				https://www.youtube.com/embed/Oqg5YqeOLOM	No
117	خواندی مرا به روی آبها ( اقیانوس )OceansJoel Houston-Hillsong	OceansJoel Houston-Hillsong	1				https://www.youtube.com/embed/Cd_UljaOoRg	No
118	خدای پدر آمده‌ایم		1				https://www.youtube.com/embed/d6UqPVAC24o	No
119	خدای پدر ای از جان بهترصبا احمدزادگانفراز دولتخواه		1				https://www.youtube.com/embed/hw1dkZ233wA	No
120	دل طاهر در من بیافرین		1				https://www.youtube.com/embed/EGz2vnino7M	No
121	دیوانه عشق تواوژنی سرکیسیان		1				https://www.youtube.com/embed/p5C-EcO-HFI	No
122	در آخوری پست ( تولد بیاب )ژیلبرت هوسپیان		1				https://www.youtube.com/embed/9Xel5iD49m0	No
123	دوستت دارم عیسی ( سرود بخوانید )		1				https://www.youtube.com/embed/f9x0miuxxVM	No
124	درون مرا تو شستشو کنوحید نوروزی		1				https://www.youtube.com/embed/AcwyCW8yA30	No
125	ده مرا تعمیدی نوسرود عربیزنده یاد کشیش هایک هوسپیان		1				https://www.youtube.com/embed/aIgzLiwk3_o	No
126	دشمنانم چه بسیار هستندThou art a shield for meFreda Tapp	Thou art a shield for meFreda Tapp	1				https://www.youtube.com/embed/-O7m8R5AMX4	No
127	در قصرهای او داخل شو		1				https://www.youtube.com/embed/zhyerWweKr8	No
128	در آن شب مقدس و فروزان ( تمجید کنید سرودها بسرایید )Palacide CappeauAdolph Adam	Palacide CappeauAdolph Adam	1				https://www.youtube.com/embed/yFF6ddmL-As	No
129	در انتظار روی توزنده یاد بیتا آرمان		1				https://www.youtube.com/embed/lFKFt5z-weo	No
130	دیگر اسیر ترسهایم نیستم ( فرزند خدا هستم )I&#039;m no longer slaveJonathan David Helser-Brian Joel Case-Mark Johnson	m no longer slaveJonathan David Helser-Brian Joel Case-Mark Johnson	1				https://www.youtube.com/embed/BriRKx890T8	No
131	روح القدس تازه کن روحم با لمس خودسرود ارمنی		1				https://www.youtube.com/embed/2WH9epO-rHw	No
132	روح القدس بهترین دوست مننیلوفر		1				https://www.youtube.com/embed/4j0sPFRVeKg	No
133	روح القدس بیاوحید نوروزی		1				https://www.youtube.com/embed/HIZqczImB38	No
134	روح قدوس خداlet the weight of your gloryPaul Wilbur	let the weight of your gloryPaul Wilbur	1				https://www.youtube.com/embed/Qo98LUdDrZs	No
135	روح القدس به ما قوت عطا فرماسرود کُره‌ایا.نوذری		1				https://www.youtube.com/embed/kuw_eflycTI	No
136	روح القدس تو برترین یار منیسپیدهژیلبرت هوسپیان		1				https://www.youtube.com/embed/QRHceWSkqMs	No
137	روح او در ماستسرود انگلیسیزنده یاد کشیش ورویر آوانسیان		1				https://www.youtube.com/embed/ZTY2tNq8hIQ	No
138	روغن شفانیلوفر		1				https://www.youtube.com/embed/qLX5iSF-kZo	No
139	زنگها فریاد کنید ( صبح روز قیام است )ژیلبرت هوسپیان		1				https://www.youtube.com/embed/q-0d9XBYehw	No
140	زیبا شدسوگل نوایی		1				https://www.youtube.com/embed/2yAdcvmG8qo	No
141	سلطنت از آنت		1				https://www.youtube.com/embed/AygrDaM0dmQ	No
142	سخن بگو ای خداوند چون با ایمان نزدت آیمژیلبرت هوسپیان		1				https://www.youtube.com/embed/m0O7ypdPzQU	No
143	سر فرود آورمسرود ارمنی		1				https://www.youtube.com/embed/AgntTpvHsMM	No
144	سخن بگو از عمق‌های ( بریز بریز آتش آسمانی )زنده یاد کشیش ورویر آوانسیان		1				https://www.youtube.com/embed/0OI3FOTUCtM	No
145	ستایش ( پر شکوهی پر جلالی )WorthyPaul Wilbur	WorthyPaul Wilbur	1				https://www.youtube.com/embed/iwce250--tg	No
146	سردار لشکر آسمانشراره-دریادریا		1				https://www.youtube.com/embed/Bgby2WGxOwg	No
147	سرایم حمد گویم ( خداوندا تو را از خود )I will singDon Moen	I will singDon Moen	1				https://www.youtube.com/embed/01wJ2ZppcYc	No
148	شبان جانمShepherd of my soulMartin Nystrom	Shepherd of my soulMartin Nystrom	1				https://www.youtube.com/embed/GpCcp1Bdqbg	No
149	شاه بودی تو انسان شدیگلسا نوروزیوحید نوروزی		1				https://www.youtube.com/embed/Q26ifsxpvWQ	No
150	شفا و آزادیژیلبرت هوسپیان		1				https://www.youtube.com/embed/TP2D1BMjspg	No
151	شاهد هستمژیلبرت هوسپیان		1				https://www.youtube.com/embed/eVUzhh6t2qw	No
152	شکر بهر صلیبتDarlene ZchechThank you for the cross lord	Darlene ZchechThank you for the cross lord	1				https://www.youtube.com/embed/LqDTyJPjht4	No
153	شبی آرام و مقدسSilent NightJoseph Mohr-Franz Xaver Gruber	Silent NightJoseph Mohr-Franz Xaver Gruber	1				https://www.youtube.com/embed/yB0nKFbsfoc	No
154	شادی کنید جهانیانJoy to the WorldLowell Mason-Isaac Watts	Joy to the WorldLowell Mason-Isaac Watts	1				https://www.youtube.com/embed/fZ4efZsrRB4	No
155	شادی کنان سرودخوانانرویا		1				https://www.youtube.com/embed/w5GL6b6TbmA	No
156	شکر و سپاس از آن توست تا به ابدوحید نوروزی		1				https://www.youtube.com/embed/sDdkwUlo37w	No
157	شکر بر نام عیسیوحید نوروزی		1				https://www.youtube.com/embed/J4rNasxBVRY	No
158	شاه شاهان تویی کلام زندهYou are the mighty kingEddie Espinoza	You are the mighty kingEddie Espinoza	1				https://www.youtube.com/embed/6ik4PbsvAQg	No
159	عیسی تو را می‌پرستمدریا		1				https://www.youtube.com/embed/aLSI9gIDepg	No
160	عظیمی عجیبیدریا		1				https://www.youtube.com/embed/6_Jth1qiOeA	No
161	عشقی تازه در قلبمرامین چنگیزی		1				https://www.youtube.com/embed/iRu80-URGb0	No
162	عجیب است چه عجیب است ( دوستت دارم عیسی )سرود انگلیسی		1				https://www.youtube.com/embed/HyBnrW9MRS4	No
163	عیسی را دوست دارم چون او مرا دوست داشتOh how I love Jesus	Oh how I love Jesus	1				https://www.youtube.com/embed/M3zVj62Urcs	No
164	عیسی تویی نان و هم چشمه حیاتسرود عربیزنده یاد کشیش هایک هوسپیان		1				https://www.youtube.com/embed/j5GCeNOcfNg	No
165	عیسی مسیح چشمه حیاتسرود ترکی		1				https://www.youtube.com/embed/PuQol8iWd-k	No
166	عیسی به دنیا آمدهنرگسروزبه-دریا-پیمان-نیلوفر		1				https://www.youtube.com/embed/UV2nqAwZCzw	No
167	عیسی نامت چه زیباستJesus name above all namesNaida Hearn	Jesus name above all namesNaida Hearn	1				https://www.youtube.com/embed/rFBzLLD7ptQ	No
168	عیسی مسیح شاه شاهان ( شکر بر نام عیسی )ژيلبرت هوسپیان		1				https://www.youtube.com/embed/LkUmqLgP9a4	No
169	عیسی تویی آرامش جانم ( سرایم دوستت دارم )شروین عبدالهی		1				https://www.youtube.com/embed/Ya0ZGZg73mY	No
170	عظیم است نام تو عیسیسرود ارمنی		1				https://www.youtube.com/embed/gU-oU-29N3c	No
171	عشق تو نجاتم دادLove came downBrian Johnson	Love came downBrian Johnson	1				https://www.youtube.com/embed/j8Ly7BB1h8Y	No
172	فیض عظیم مسیحاAmazing GraceJohn Newton	Amazing GraceJohn Newton	1				https://www.youtube.com/embed/-oN8ruu2E8E	No
173	فقط عیسیروزبه-نیلوفر-دریا		1				https://www.youtube.com/embed/6QstxIVEvd4	No
174	فصل نو ( فصل سبز بودن تو )کوروش روحانی		1				https://www.youtube.com/embed/l7TvDJXXaIo	No
175	فرشتگان آسمانی ( آیید او را باهم پرستیم )Angels we have heard on highJames Chadwick	Angels we have heard on highJames Chadwick	1				https://www.youtube.com/embed/49dPUo4w7CA	No
176	فرشتگان گرداگرد تختHoly is our kingRick Pino	Holy is our kingRick Pino	1				https://www.youtube.com/embed/kslRCF7nT_E	No
177	قلب من دست توستسرود ارمنی		1				https://www.youtube.com/embed/XLAvy-_JzoI	No
178	قطره قطره باران روح القدسوحید نوروزی		1				https://www.youtube.com/embed/yPq8UpXgld0	No
179	قدوس قدوس قدوس ( سزاوار )		1				https://www.youtube.com/embed/Qmeg4544uW8	No
180	قوت و جلال حمد و سپاس		1				https://www.youtube.com/embed/sAyEnPmQsQE	No
181	قدوس قدوس همراه با ملائکوحید نوروزی		1				https://www.youtube.com/embed/qYOo74BYOWw	No
182	قادر متعال ( برخیز بسرا و نامش برافراز )سرود ارمنی		1				https://www.youtube.com/embed/CKpaO-5ki9U	No
183	کلمه جسم گردیدسینا مسیحا		1				https://www.youtube.com/embed/eV-1Or6qfOw	No
184	کیست امید من (ای مقدسین ای قوم خدا)زنده یاد کشیش ورویر آوانسیان		1				https://www.youtube.com/embed/8kB8Efwf0mI	No
185	کلامت زنده و زرین و زیبادکتر مژده شیروانیانروزبه نجارنژاد		1				https://www.youtube.com/embed/05Smfo3_5eg	No
186	کلام تو برای پاهایم چراغ استروزبه نجارنژاد		1				https://www.youtube.com/embed/Vf0NPQL0uRM	No
187	کیست مانند او / زمین و آسمان پر از رحمت خداوندWho is like the LordMichael William Neale-Steve Merkel-Paul Robert Wilbur	Who is like the LordMichael William Neale-Steve Merkel-Paul Robert Wilbur	1				https://www.youtube.com/embed/eQe0wSOClsA	No
